evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
False,Single image may be insufficient for reliable verification,none,crack,screen,not_enough_information,"Detected 'crack' on 'screen' with 1 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,none,missing,keyboard,not_enough_information,"Detected 'missing' on 'keyboard' with 2 image(s), result: not_enough_information",none,True,high
False,Single image may be insufficient for reliable verification,medium,crack,screen,not_enough_information,"Detected 'crack' on 'screen' with 1 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,medium,damage,screen,supported,"Detected 'damage' on 'screen' with 2 image(s), result: supported",images/test/case_027/img_1.jpg;images/test/case_027/img_2.jpg,True,unknown
False,Single image may be insufficient for reliable verification,high,broken,screen,not_enough_information,"Detected 'broken' on 'screen' with 1 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,none,damage,package,supported,"Detected 'damage' on 'package' with 2 image(s), result: supported",images/test/case_029/img_1.jpg;images/test/case_029/img_2.jpg,True,unknown
False,Single image may be insufficient for reliable verification,medium,missing,package,not_enough_information,"Detected 'missing' on 'package' with 1 image(s), result: not_enough_information",none,True,high
True,Multiple images improve reliability,high,damage,package,supported,"Detected 'damage' on 'package' with 3 image(s), result: supported",images/test/case_031/img_1.jpg;images/test/case_031/img_2.jpg;images/test/case_031/img_3.jpg,True,unknown
True,Multiple images improve reliability,none,damage,door,supported,"Detected 'damage' on 'door' with 2 image(s), result: supported",images/test/case_032/img_1.jpg;images/test/case_032/img_2.jpg,True,high
True,Multiple images improve reliability,none,damage,package,supported,"Detected 'damage' on 'package' with 2 image(s), result: supported",images/test/case_034/img_1.jpg;images/test/case_034/img_2.jpg,True,unknown
True,Multiple images improve reliability,medium,damage,package,supported,"Detected 'damage' on 'package' with 2 image(s), result: supported",images/test/case_036/img_1.jpg;images/test/case_036/img_2.jpg,True,unknown
False,Single image may be insufficient for reliable verification,high,damage,package,not_enough_information,"Detected 'damage' on 'package' with 1 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,medium,broken,package,supported,"Detected 'broken' on 'package' with 2 image(s), result: supported",images/test/case_038/img_1.jpg;images/test/case_038/img_2.jpg,True,unknown
False,Single image may be insufficient for reliable verification,none,damage,package,not_enough_information,"Detected 'damage' on 'package' with 1 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,high,missing,package,not_enough_information,"Detected 'missing' on 'package' with 3 image(s), result: not_enough_information",none,True,high
True,Multiple images improve reliability,medium,damage,bumper,supported,"Detected 'damage' on 'bumper' with 3 image(s), result: supported",images/test/case_041/img_1.jpg;images/test/case_041/img_2.jpg;images/test/case_041/img_3.jpg,True,unknown
True,Multiple images improve reliability,medium,crack,bumper,supported,"Detected 'crack' on 'bumper' with 2 image(s), result: supported",images/test/case_042/img_1.jpg;images/test/case_042/img_2.jpg,True,unknown
False,Single image may be insufficient for reliable verification,none,damage,unknown,not_enough_information,"Detected 'damage' on 'unknown' with 1 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,none,broken,screen,supported,"Detected 'broken' on 'screen' with 2 image(s), result: supported",images/test/case_044/img_1.jpg;images/test/case_044/img_2.jpg,True,unknown
True,Multiple images improve reliability,medium,crack,screen,supported,"Detected 'crack' on 'screen' with 2 image(s), result: supported",images/test/case_045/img_1.jpg;images/test/case_045/img_2.jpg,True,unknown
True,Multiple images improve reliability,high,dent,door,supported,"Detected 'dent' on 'door' with 2 image(s), result: supported",images/test/case_047/img_1.jpg;images/test/case_047/img_2.jpg,True,medium
True,Multiple images improve reliability,high,broken,bumper,supported,"Detected 'broken' on 'bumper' with 2 image(s), result: supported",images/test/case_046/img_1.jpg;images/test/case_046/img_2.jpg,True,unknown
True,Multiple images improve reliability,none,damage,package,supported,"Detected 'damage' on 'package' with 2 image(s), result: supported",images/test/case_048/img_1.jpg;images/test/case_048/img_2.jpg,True,unknown
True,Multiple images improve reliability,medium,unknown,unknown,not_enough_information,"Detected 'unknown' on 'unknown' with 2 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,medium,crack,screen,supported,"Detected 'crack' on 'screen' with 2 image(s), result: supported",images/test/case_050/img_1.jpg;images/test/case_050/img_2.jpg,True,unknown
True,Multiple images improve reliability,high,dent,door,supported,"Detected 'dent' on 'door' with 3 image(s), result: supported",images/test/case_051/img_1.jpg;images/test/case_051/img_2.jpg;images/test/case_051/img_3.jpg,True,medium
True,Multiple images improve reliability,medium,unknown,package,not_enough_information,"Detected 'unknown' on 'package' with 2 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,medium,broken,keyboard,supported,"Detected 'broken' on 'keyboard' with 2 image(s), result: supported",images/test/case_053/img_1.jpg;images/test/case_053/img_2.jpg,True,high
False,Single image may be insufficient for reliable verification,medium,scratch,bumper,not_enough_information,"Detected 'scratch' on 'bumper' with 1 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,high,damage,package,not_enough_information,"Detected 'damage' on 'package' with 2 image(s), result: not_enough_information",none,True,unknown
True,Multiple images improve reliability,medium,dent,screen,supported,"Detected 'dent' on 'screen' with 2 image(s), result: supported",images/test/case_056/img_1.jpg;images/test/case_056/img_2.jpg,True,medium
